Recording timestamp	Sensor	Event	Event value	Gaze point X	Gaze point Y	Validity left	Validity right
64609	Eye Tracker			981	417	Valid	Valid
64613	Eye Tracker			981	417	Valid	Valid
64616	Eye Tracker			981	420	Valid	Valid
64619	Eye Tracker			981	421	Valid	Valid
64623	Eye Tracker			985	418	Valid	Valid
64626	Eye Tracker			982	421	Valid	Valid
64629	Eye Tracker			983	421	Valid	Valid
64633	Eye Tracker			980	420	Valid	Valid
64636	Eye Tracker			979	424	Valid	Valid
64639	Eye Tracker			982	421	Valid	Valid
64643	Eye Tracker			981	423	Valid	Valid
64646	Eye Tracker			985	422	Valid	Valid
64649	Eye Tracker			985	417	Valid	Valid
64653	Eye Tracker			982	421	Valid	Valid
64656	Eye Tracker			985	419	Valid	Valid
64659	Eye Tracker			985	419	Valid	Valid
64663	Eye Tracker			984	420	Valid	Valid
64666	Eye Tracker			986	419	Valid	Valid
64669	Eye Tracker			988	420	Valid	Valid
64673	Eye Tracker			985	420	Valid	Valid
64676	Eye Tracker			985	421	Valid	Valid
64679	Eye Tracker			982	417	Valid	Valid
64683	Eye Tracker			985	420	Valid	Valid
64686	Eye Tracker			984	422	Valid	Valid
64689	Eye Tracker			983	419	Valid	Valid
64693	Eye Tracker			984	419	Valid	Valid
64696	Eye Tracker			983	419	Valid	Valid
64699	Eye Tracker			971	418	Valid	Valid
64703	Eye Tracker			945	412	Valid	Valid
64706	Eye Tracker			903	400	Valid	Valid
64709	Eye Tracker			862	389	Valid	Valid
64713	Eye Tracker			819	376	Valid	Valid
64716	Eye Tracker			781	364	Valid	Valid
64719	Eye Tracker			764	355	Valid	Valid
64723	Eye Tracker			749	350	Valid	Valid
64726	Eye Tracker			749	343	Valid	Valid
64729	Eye Tracker			750	338	Valid	Valid
64733	Eye Tracker			754	337	Valid	Valid
64736	Eye Tracker			758	338	Valid	Valid
64739	Eye Tracker			762	344	Valid	Valid
64743	Eye Tracker			765	343	Valid	Valid
64746	Eye Tracker			761	344	Valid	Valid
64749	Eye Tracker			758	343	Valid	Valid
64753	Eye Tracker			756	342	Valid	Valid
64756	Eye Tracker			755	344	Valid	Valid
64759	Eye Tracker			750	343	Valid	Valid
64763	Eye Tracker			748	342	Valid	Valid
64766	Eye Tracker			749	342	Valid	Valid
64769	Mouse						
64769	Eye Tracker			750	341	Valid	Valid
64773	Eye Tracker			749	342	Valid	Valid
64776	Eye Tracker			751	340	Valid	Valid
64779	Eye Tracker			749	338	Valid	Valid
64783	Eye Tracker			750	340	Valid	Valid
64785	Mouse						
64786	Eye Tracker			749	341	Valid	Valid
64789	Eye Tracker			748	343	Valid	Valid
64793	Eye Tracker			750	338	Valid	Valid
64796	Eye Tracker			749	341	Valid	Valid
64799	Eye Tracker			747	340	Valid	Valid
64800	Mouse						
64803	Eye Tracker			751	341	Valid	Valid
64806	Eye Tracker			747	339	Valid	Valid
64809	Eye Tracker			747	336	Valid	Valid
64813	Eye Tracker			748	339	Valid	Valid
64816	Eye Tracker			749	337	Valid	Valid
64817	Mouse						
64819	Eye Tracker			748	340	Valid	Valid
64823	Eye Tracker			750	341	Valid	Valid
64826	Eye Tracker			750	341	Valid	Valid
64829	Eye Tracker			751	341	Valid	Valid
64833	Mouse						
64833	Eye Tracker			754	340	Valid	Valid
64836	Eye Tracker			748	340	Valid	Valid
64839	Eye Tracker			739	331	Valid	Valid
64843	Eye Tracker			723	322	Valid	Valid
64846	Eye Tracker			715	315	Valid	Valid
64849	Mouse						
64849	Eye Tracker			711	312	Valid	Valid
64853	Eye Tracker			709	314	Valid	Valid
64856	Eye Tracker			714	318	Valid	Valid
64859	Eye Tracker			715	318	Valid	Valid
64863	Eye Tracker			717	315	Valid	Valid
64865	Mouse						
64866	Eye Tracker			718	314	Valid	Valid
64869	Eye Tracker			720	312	Valid	Valid
64873	Eye Tracker			719	316	Valid	Valid
64876	Eye Tracker			722	314	Valid	Valid
64879	Eye Tracker			720	311	Valid	Valid
64881	Mouse						
64883	Eye Tracker			720	313	Valid	Valid
64886	Eye Tracker			721	312	Valid	Valid
64889	Eye Tracker			716	313	Valid	Valid
64893	Eye Tracker			717	310	Valid	Valid
64896	Eye Tracker			718	309	Valid	Valid
64897	Mouse						
64899	Eye Tracker			718	310	Valid	Valid
64903	Eye Tracker			717	310	Valid	Valid
64906	Eye Tracker			717	307	Valid	Valid
64909	Eye Tracker			717	308	Valid	Valid
64913	Mouse						
64913	Eye Tracker			716	307	Valid	Valid
64916	Eye Tracker			716	307	Valid	Valid
64919	Eye Tracker			717	307	Valid	Valid
64923	Eye Tracker			716	306	Valid	Valid
64926	Eye Tracker			717	306	Valid	Valid
64929	Mouse						
64929	Eye Tracker			718	306	Valid	Valid
64933	Eye Tracker			719	307	Valid	Valid
64936	Eye Tracker			718	304	Valid	Valid
64939	Mouse						
